SMILES,P(Act),Unnamed: 2
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,6.113509275,
CN1CC[C@H](N(Cc2ccccc2-c2ccccc2)S(C)(=O)=O)C1,6.126098402,
Clc1ccccc1Oc1ncccc1N1CCNCC1,6.126679398,
CN1C2CCC1C1COC(=O)CCC3(CCC(=O)Nc4ccc(cc4)C1C2)c1ccccc1-c1ccccc13,6.133712661,
N[C@@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,6.136082623,
FC(F)Oc1ccc(-c2ccc3c(c2)CN2CCC3(c3ccc(Cl)cc3)C2)nn1,6.142426296,
OC1(C(CN2CCNCC2)c2ccc(Cl)cc2)CCCCC1,6.144480844,
[11CH3]Oc1ccc2c(c1)CCN(CCCc1c[nH]c3ccc(I)cc13)C2,6.147520006,
CCNCC1(O)Cc2ccccc2C1Oc1ccccc1C,6.15490196,
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc([S+](C)[O-])c(Br)c1)N2C,6.161150909,
[3H][C@](O)(CN)c1ccc(O)c(O)c1,6.161150909,
C#CCN(c1ccncc1)n1ccc2ccccc21,6.167491087,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21,6.167491087,
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3ccnn3)cc21,6.187086643,
O=C1/C(=C/c2ccccc2N2CCNCC2)SCCN1c1ccc(F)cc1F,6.187086643,
Clc1ccc(C23CCN(Cc4cc(-c5ccc6ncnn6c5)ccc42)C3)cc1,6.200797344,
CCCn1c(=O)n([C@@H](CCNC)c2ccccc2)c2ccccc21,6.202732459,
CN[C@@H]1CCN(c2ccc(Cl)c(Cl)c2)c2ccccc21,6.221125528,
CCCN(c1ccncc1)n1ccc2cc(OC)ccc21,6.244125144,
CN1C[C@@H]2CCCC[C@]2(c2ccccc2)C1,6.250001023,
CCN(CC)C(=O)[C@@]1(c2cc(Cl)c(Cl)s2)C[C@H]1CN,6.251811973,
c1ccc(Oc2ccccc2N2CCNCC2)cc1,6.256490235,
CN1C2CCC1[C@@H](c1cc(-c3ccc(F)cc3)no1)[C@@H](c1ccc(Cl)cc1)C2,6.257274869,
Fc1ccccc1Oc1ncccc1C1CCNCC1,6.27083521,
CNCc1cc(C(=O)N2CCN(C(C)C)CC2)ccc1Oc1ccc(SC)cc1,6.27572413,
Fc1ccccc1COc1ccccc1N1CCNCC1,6.279014256,
COc1ccc(C(CN2CCNCC2)C2(O)CCCCC2)cc1,6.284832642,
CCCCC(c1ccc(Cl)cc1)C1CCCCN1,6.293282218,
NC(=O)c1cc2cc(N3CCNCC3Cc3ccccc3)ccc2[nH]1,6.299997603,
CNCC[C@@H](Oc1cc(Cl)ccc1C#N)c1ccccc1,6.301029996,
CN(C)CCC(c1ccc(Cl)c(Cl)c1)N1CCOCC1,6.321026624,
c1cncc([C@@H]2CN3CCC[C@@H]3c3cc(OCCCN4CCCCC4)ccc32)c1,6.337242168,
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,6.338802764,
O=c1[nH]c2ccc(-c3ccc4c(c3)CN3CCC4(c4ccc(Cl)c(Cl)c4)CC3)cc2o1,6.345727173,
O[C@@H](CCN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1,6.356547324,
COc1ccc(O[C@@H](CC(C)C)[C@@H]2CCNC2)c(C)n1,6.358525889,
CCCN(c1ccncc1)n1ccc2ccccc21,6.366531544,
CN(C)Cc1cc(C(N)=O)ccc1Cc1ccc(Cl)c(Cl)c1,6.366531544,
CN1[C@H]2CC[C@@H]1[C@@H](c1cn(CCN3CCCCC3)nn1)[C@@H](c1ccc(Cl)cc1)C2,6.366531544,
