SMILES,P(Act),Unnamed: 2
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)/C=C/c5ccc(Cl)cc5)[C@@H](C2)N(CC2CC2)CC[C@]314,8.36332978,
O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccncc1,8.351965425,
CC(C)CCCN1CCCc2cc(Oc3ccc(C(N)=O)cn3)ccc2C1,8.349692477,
C=CCN1CC[C@]23c4c5ccc(C(N)=O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,8.346787486,
CO[C@]12CC[C@@]3(C[C@@H]1COCc1ccccc1F)[C@H]1Cc4ccc(O)c5c4[C@@]3(CC[N+]1(C)CC1CC1)[C@H]2O5,8.345823458,
NC(=O)c1cc2c([nH]c1=O)C[C@]13CCN(CC4CC4)[C@H](Cc4ccc(O)cc41)[C@@H]3C2,8.341988603,
C[C@H]1[C@H]2CCC[C@]1(c1cccc(O)c1)CCN2CCc1ccccc1,8.340400688,
NC(=O)c1ccc2c(c1O)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CC1)CC3,8.332235836,
N/C(=N\CCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)[C@H]2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5)NCc1ccc(N)cc1,8.330218385,
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(NC(=O)C/C=C/c5ccc(Cl)cc5)[C@@H](C2)N(CC2CC2)CC[C@]314,8.325138859,
CO[C@]12CC[C@@]3(C[C@@H]1CNC(=O)[C@@H](N)CC(=O)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,8.310691141,
C[C@H]1C[C@H]2C[C@](c3cccc(O)c3)(CCN2C)C1,8.308034897,
COc1ccc2c3c1O[C@H]1[C@]4(OC)CC[C@@]5(C[C@@H]4COCc4ccc(OC(F)(F)F)cc4)[C@@H](C2)N(C)CC[C@]315,8.29627884,
O=C1NCN(c2ccccc2)C12CCN(C1CCCc3cccc(F)c31)CC2,8.292429824,
Oc1ccc2c3c1O[C@H]1C4(CC[C@@]5(O)[C@@H](C2)N(CC2CC2)CC[C@]315)Oc1ccccc1O4,8.283996656,
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C,8.26760624,
CO[C@@]12CC[C@@]3(C[C@@H]1CNC(=O)/C=C/c1ccc(C)cc1)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1C)[C@H]2O5,8.260691424,
CC1(c2cccc(O)c2)CCN(CCCc2ccccc2)CC1,8.259637311,
